0101 Aakhorn  
	(Knight) MaSaRuLuULa
	(Baron) Ik
<hr/>0102 Rokii    
	(Knight) PunShuumZaU
<hr/>0104 Maluuf   
	(Knight) SiUunMer
<hr/>0105 Gikkon   
	(Knight) EshGiirKiIsLaU
<hr/>0107 Taraddiin
	(Knight) Al
	(Baron) UzNurKash
<hr/>0109 Hakkat   
	(Knight) AakGuShur
	(Baronet) AKar
	(Viscount) AaBaI
<hr/>0110 Ossin    
	(Knight) Iil
	(Marquis) A
	(Viscount) ShaDiMumKhaIg
<hr/>0202 Kalkako  
	(Knight) IShaKiish
	(Baronet) IikKharShur
<hr/>0203 Bannon's 
	(Knight) IiKikShashShiAdKu
<hr/>0205 Khankari 
	(Knight) ShiEshZuurGid
	(Baronet) GiIikShaLaU
<hr/>0209 Lankhi   
	(Knight) GirNiSishLaLagDag
	(Baron) AKhurGiiKhi
<hr/>0210 Khalgun  
	(Knight) IisMeLishKhiAmKa
	(Baron) AUGumShi
	(Marquis) BiishMiiIibGar
<hr/>0303 Anert    
	(Knight) GiinGuEkhDaSheEd
<hr/>0306 Skathi   
	(Knight) IisDiiMu
	(Baron) UudKid
<hr/>0307 Enard    
	(Knight) Al
<hr/>0402 Kuk      
	(Knight) Lur
<hr/>0403 Apkeraas 
	(Knight) IsBiAag
<hr/>0404 Katti    
	(Knight) AzPeA
<hr/>0408 Shaddukan
	(Knight) Ush
<hr/>0502 Lugaluru 
	(Knight) IkShinDaadGaash
<hr/>0506 Gamibuu  
	(Knight) DiI
<hr/>0507 Kharta   
	(Knight) LiikLa
<hr/>0508 Arfaan   
	(Knight) ImDush
	(Baronet) IikhLashKhiLu
<hr/>0601 Athanuez 
	(Knight) Li
	(Marquis) UkhMiDamDu
	(Viscount) GudLin
<hr/>0605 Sheshat  
	(Knight) KuKaRiI
<hr/>0610 Rakurram 
	(Knight) KuusKhuurShaUlMaGuu
<hr/>0701 Taegzdueg
	
<hr/>0703 Khigapka 
	
<hr/>0705 Shukhuge 
	(Knight) GudKuGiIGir
	(Marquis) IEmGuun
	(Viscount) UnLa
<hr/>0707 Lenordi  
	(Knight) KamKiKurLim
<hr/>0708 Voskhod  
	(Knight) AIsh
	(Count) ShaGiIiUIs
	(Duke) SuShishGim
<hr/>0709 Kharzet  
	(Knight) ShisKaDuUkZa
	(Baronet) IAkMiiIik
	(Baron) EgDeAKamKa
<hr/>0801 Ogerrgh  
	
<hr/>0804 Kegirur  
	
<hr/>0806 Gadiga   
	(Knight) ShirLeEIiIlMa
<hr/>0807 Kunumi   
	(Knight) IiIkKaEsh
	(Baronet) UIikhKhugMadKii
<hr/>
