1011 Iren     
	(Knight) UgSaKeUgMiGed
	(Viscount) IshSuKuurKeUm
<hr/>1012 Askhu    
	(Knight) IiUgLuKhuIshKi
<hr/>1112 Vallae   
	(Knight) Gash
	(Baron) IshMushKin
	(Marquis) U
<hr/>1113 Thogho   
	(Knight) Ig
	(Baron) EsKhaA
<hr/>1114 Gukhaga  
	(Knight) DaKhamMi
	(Baron) GakMesDiAg
<hr/>1116 Darmagu  
	(Knight) DaaGaIgKeDuKar
<hr/>1117 The Uris 
	(Knight) IkSheAaIimKhii
<hr/>1119 Daku     
	(Knight) AdDemLaAsh
<hr/>1120 Ideshe   
	(Knight) AIgLiIKiA
	(Baron) Di
<hr/>1211 Gagzoe   
	(Knight) GemLashShiAd
	(Baronet) ZamKaKid
<hr/>1215 Siruga   
	(Knight) EkGaGa
<hr/>1217 Estoff   
	(Knight) Shin
<hr/>1219 Ramir    
	(Knight) ILeGirKhaaDusShi
<hr/>1220 Imik     
	(Knight) Aak
<hr/>1311 Kema     
	(Knight) ImLiKhiUSherLa
<hr/>1312 Taksar   
	(Knight) BiKhiidKerMiid
<hr/>1313 Hisus    
	(Knight) UAgDiA
	(Baronet) U
	(Marquis) LiiAgZiUul
	(Viscount) UmKirNe
<hr/>1317 Anik     
	(Knight) As
<hr/>1319 Ganar    
	(Knight) KuushDiAkhReMinShii
<hr/>1412 Karka    
	(Knight) UlKaKhiiGarMash
	(Marquis) IGik
	(Viscount) GaAkZaShaKe
<hr/>1414 Centra   
	(Knight) ShashGuumDiAmGakNaa
<hr/>1417 Astira   
	(Knight) UmGiiIShiU
<hr/>1515 Luunbu   
	(Knight) AnKiirMi
<hr/>1516 Duam     
	(Knight) LuLaAEGarGar
	(Baronet) AadKhaLeIiGe
	(Baron) IkKaA
	(Viscount) UIGaEIilKur
<hr/>1519 Kagamira 
	(Knight) IIlKigKiiA
	(Count) AMiiAg
	(Duke) NaGa
<hr/>1520 Shulishu 
	(Knight) GaKhaA
<hr/>1612 Ersii    
	(Knight) KiAkhPi
<hr/>1619 Midku    
	(Knight) AakhLirGuUd
	(Baronet) Ag
	(Baron) GarRam
<hr/>
