2511 Iigshuren  
	(Knight) GuGer
	(Baron) KeElKaUukKarShin
<hr/>2512 Imziinune  
	(Knight) GinGamGad
<hr/>2513 Shiigus    
	(Knight) DimDurNiIgDeGag
	(Marquis) KaaUmShi
<hr/>2515 Gookir     
	(Knight) Ash
	(Viscount) MagKhaIi
<hr/>2518 Khe        
	(Knight) GiSuAlGaIm
<hr/>2519 Muukakam   
	(Knight) IIshMirKeU
<hr/>2520 Ma         
	(Knight) Ish
<hr/>2611 Kimii      
	(Knight) KaAnLaUrShaa
	(Marquis) IshDi
<hr/>2612 Gaska Khiin
	(Knight) IkKuDaUk
	(Baron) IkMuuIgDi
<hr/>2613 Kusu       
	(Knight) ImReRuA
<hr/>2615 Malta      
	(Knight) ShaKaLishPa
<hr/>2616 St. George 
	(Knight) IidGasKishGuUg
	(Count) UshMumKuKhimGiGaan
	(duke) ImSha
<hr/>2618 Dudid      
	(Knight) GiAsLaIgKiI
<hr/>2620 Mennoral   
	(Knight) IShiirKiiGaaAn
	(Baron) ShuAgKi
<hr/>2713 Aanshi     
	(Knight) EmShanKhiishNi
	(Count) IbNuKa
<hr/>2716 Eriston    
	(Knight) Gur
<hr/>2812 Alkhaas    
	(Knight) AgKaaDerShi
	(Baron) KhipLeIsh
<hr/>2815 Karmanidora
	(Knight) ShiIibKen
<hr/>2816 Faranidon  
	(Knight) Ku
	(Count) UuSa
<hr/>2818 Tazaris    
	(Knight) Se
<hr/>2820 Anzalits   
	(Knight) Kiir
<hr/>2911 Naalkin    
	(Knight) IkLuAIUn
	(Baron) U
<hr/>2912 Damakho    
	(Knight) IikKurGurDu
	(Baron) MiiIsh
<hr/>2914 Mimere     
	(Knight) LemKamKerLii
	(Count) AgShii
	(duke) IIbGaaA
<hr/>2915 Lormiza    
	(Knight) Ma
<hr/>2916 Iizmarna   
	(Knight) AkhLuLumSiUb
<hr/>2918 Beroni     
	(Knight) IikKiiIDur
	(Baron) NirZaUg
<hr/>2919 Alanidon   
	(Knight) LaShurMaIkSir
	(Baronet) AlKaagMerKuLi
<hr/>2920 Sidenis    
	(Knight) Ma
<hr/>3011 Lourer     
	(Knight) I
	(Count) EpRa
<hr/>3014 Zaan       
	(Knight) ShaAESir
	(Baronet) ZeMiirShi
<hr/>3018 Sikal      
	(Knight) AnDugPadLiikGaaGa
	(Baron) IinShiirGar
<hr/>3019 Braldini   
	(Knight) Shi
	(Baron) UmDarGi
	(Marquis) La
<hr/>3020 Trilorn    
	(Knight) AGiirGapMaLuuNig
	(Marquis) AgGuSarPunLir
	(Viscount) AGu
<hr/>3111 Kalanuu    
	(Knight) KiUdMiShiKhu
	(Baron) AaUshLedKi
<hr/>3115 Dusuureg   
	(Knight) IiAl
<hr/>3116 Kirlasesh  
	(Knight) DaIgMuIshPiUu
	(Baron) Gaag
<hr/>3117 Altman     
	(Knight) KuuIdGiimPa
	(Baron) LuIimKugSudGi
<hr/>3119 Aarkhiin   
	(Knight) EKhimKhiKhaIk
	(Baron) I
<hr/>3211 Urkimgar   
	(Knight) Gaa
	(Baronet) Ik
<hr/>3212 Amnukun    
	(Knight) ShishManDirKu
	(Count) AgLiAdGam
	(duke) NuAlKu
<hr/>3213 Ami        
	(Knight) ShirBarKum
	(Baronet) IdLuuIkMigDur
	(Baron) IkMarMaISiUsh
<hr/>3214 Khunimmam  
	(Knight) NigKhiGiimKhidShu
<hr/>3215 Shaia      
	(Knight) KuumLii
	(Count) KhuKishReEGaar
	(duke) KiGaKusKhiKhash
<hr/>3216 Kigirgam   
	(Knight) MiLud
<hr/>3218 Gisharu    
	(Knight) AkhKhamSher
	(Baron) DusShaKheAgLaMi
<hr/>
