1722 Asanik      
	(Knight) AkZiiEnGaKa
<hr/>1725 Kalimgar    
	(Knight) DasShu
<hr/>1726 Gunavarum   
	(Knight) GagLaaAUg
<hr/>1728 Ashok       
	(Knight) IgLiMaIlKaIl
<hr/>1729 Kargem      
	(Knight) AnGaarNedKharGiiEl
<hr/>1730 Lurkha      
	(Knight) Aad
	(Baronet) IgKarBuUshGuumMii
	(Marquis) IShan
	(Viscount) AgShuk
<hr/>1821 Iikhok      
	(Knight) UgNirLamPir
<hr/>1822 Kasear      
	(Knight) UdShaad
	(Count) UdKiMudDap
	(Duke) KeAkLenZirKa
<hr/>1825 Karfir      
	(Knight) UuE
	(Count) LuKiiUKiAagKhi
<hr/>1830 Sindal      
	(Knight) KharGaAIk
<hr/>1923 Sagida      
	(Knight) Ik
	(Count) Ag
<hr/>1928 Nimmer      
	(Knight) AashKhuKu
<hr/>1929 Sakhem      
	(Knight) MarZikKiiIik
<hr/>1930 Ziirkago    
	(Knight) GeAm
	(Baron) LuIAakMirKik
<hr/>2022 Emrim       
	(Knight) AAg
<hr/>2023 Zhattar     
	(Knight) KuuKhir
<hr/>2027 Gaarluzargu 
	(Knight) IkhKisKeUsh
	(Baron) ShiIKhapGuu
	(Marquis) DaGanPiAnKi
<hr/>2029 Gabik       
	(Knight) ShiLerShir
<hr/>2030 Duusan      
	(Knight) UkShaUlGaaAgGe
<hr/>2122 Lekkon      
	(Knight) RuKhiLuUnShu
<hr/>2123 Blikig      
	(Knight) I
	(Baron) DunZirLiAan
<hr/>2124 Razzun      
	(Knight) GaAkNaAkh
	(Marquis) UuUAakhNi
<hr/>2125 Shib        
	(Knight) UgGuUuKa
<hr/>2126 Dekhuun     
	(Knight) IgGuGaGuu
	(Baron) KiNu
	(Marquis) MapMirZii
<hr/>2129 Gunnar      
	(Knight) AmGarNinSharShakDa
	(Marquis) IdGeKhur
<hr/>2221 Karlum      
	(Knight) LiAsh
<hr/>2222 Markassar   
	(Knight) SirRush
	(Baronet) MiMu
	(Marquis) EsGa
	(Viscount) KugDiIlPaGarZa
<hr/>2223 Gurzish     
	(Knight) UgPaUkGuIg
<hr/>2225 Iamone      
	(Knight) UugLinLiirDa
	(Count) Kha
<hr/>2227 Zikurag     
	(Knight) IKiishSedShurGi
<hr/>2229 Munakhiin   
	(Knight) Nuu
	(Marquis) AadBiGa
<hr/>2321 Gikarlum    
	(Knight) IkhKerShiUmLaanKer
<hr/>2322 Hefas       
	(Knight) IgShadGirLuIkMur
	(Count) ALashGaEshZaA
<hr/>2323 Zruub       
	(Knight) EshKarGaUkGuuKhii
<hr/>2324 Firdakh     
	(Knight) KaUdKhar
<hr/>2325 Derkhuun    
	(Knight) IUzKaSi
<hr/>2328 Fharnas     
	(Knight) Un
	(Count) AkhMa
<hr/>2329 Tobrun      
	(Knight) AdShaIUshGash
<hr/>2330 Umzgaa      
	(Knight) IlRarNaUIl
<hr/>2425 Martle      
	(Knight) ShiIdNiShiMurKam
	(Count) IidGerLiKhiDeAs
<hr/>2426 Khanaddar   
	(Knight) AIiGurGaEk
<hr/>2429 Irgar       
	(Knight) IinLe
<hr/>
