2524 Kakhash
	(Knight) UGaKaUlSha
<hr/>2526 Daapuke
	(Knight) KirKaDarMidGiimNur
<hr/>2527 Kaple  
	(Knight) DaIEsh
<hr/>2528 Shuurnn
	(Knight) Uk
<hr/>2530 Thagges
	(Knight) KhiirKaAlGarKhuUkh
	(Baronet) KaEUgSaKamKu
	(Baron) Dun
	(Viscount) AlZaAagKi
<hr/>2621 Malvar 
	(Knight) Ig
	(Baron) ZeId
<hr/>2624 Shera  
	(Knight) MashGanGash
	(Baron) AshGiishLigShaShaIg
	(Viscount) Al
<hr/>2627 Taluza 
	(Knight) DuuUMigKaar
	(Baron) IDiiGer
<hr/>2628 Floranu
	(Knight) AlGiiKiUIi
<hr/>2629 Rikaan 
	(Knight) KeUgShuuUgGeg
	(Viscount) AbKa
<hr/>2721 Nodden 
	(Knight) IkhLuNuDiiIip
	(Baron) DunGigDaUA
<hr/>2723 Klidon 
	(Knight) AdGush
	(Baron) ImKeEdGish
	(Viscount) El
<hr/>2725 Duranus
	(Knight) UukPaa
<hr/>2728 Depot  
	(Knight) BirGiigKirShuAgZuu
	(Baron) I
<hr/>2823 Tektras
	(Knight) AaSheshGiAlShigMar
<hr/>2824 Jana   
	(Knight) GuNumBur
	(Count) GaUIdKiU
<hr/>2825 Arron  
	(Knight) IigSaDaIk
<hr/>2826 Zafron 
	(Knight) ULiiUugGak
	(Baronet) IkMi
<hr/>2827 Hannipu
	(Knight) IlKerMish
	(Count) Kiim
<hr/>2829 Luukon 
	(Knight) GasKii
	(Count) AkhSurGa
	(Duke) AI
<hr/>2830 Lezaner
	(Knight) KeAadGuSaaDir
	(Baronet) NiimSadKerKiSaKe
<hr/>2921 Iton   
	(Knight) SurLuDaAkhKuAn
<hr/>2923 Zircon 
	(Knight) AshLiRashLimLar
<hr/>2925 Kaanpus
	(Knight) IlKiiKiish
<hr/>2926 Sanders
	(Knight) AkKuDishKhaLuur
<hr/>3021 Talama 
	(Knight) KukManGu
<hr/>3022 Arklin 
	(Knight) GuUg
<hr/>3024 Bertran
	(Knight) Shin
<hr/>3025 Shervan
	(Knight) MirDa
	(Baron) Ish
	(Marquis) SiE
<hr/>3029 Kamolad
	(Knight) AlKiUugKuumShis
<hr/>3122 Ekum   
	(Knight) LashSha
	(Baron) SumLaapLiKhaaI
<hr/>3124 Thaar  
	(Knight) Ad
	(Marquis) Esh
<hr/>3125 Inandir
	(Knight) AkGaAdGiIIish
	(Count) KharKharPiIshNaa
<hr/>3126 Renbad 
	(Knight) IshGuZuKi
	(Baronet) UudKedRushKaarKhar
	(Baron) IgLidMaGeAkh
<hr/>3128 Xantril
	(Knight) IKhugKiAk
	(Baron) AALuush
<hr/>3129 Wimorel
	(Knight) IgKiLuu
	(Baronet) Khiir
	(Baron) GimKhurLirShuSer
<hr/>3130 Gamidan
	(Knight) IgGishLash
<hr/>3221 Sadkha 
	(Knight) IkLa
<hr/>3222 Nemsa  
	(Knight) EAg
<hr/>3224 Anakod 
	(Knight) AkLar
<hr/>3226 Eshdigi
	(Knight) UshKuALaa
<hr/>3228 Nirnalu
	(Knight) UgSusShiish
	(Baronet) IlShuAmBuDuu
<hr/>3229 Diikara
	(Knight) UuShi
<hr/>
