0933 Arluk      
	(Knight) AId
	(Count) UgSarDiNim
<hr/>0934 Imdakhun   
	(Knight) UIlSi
<hr/>0938 Rhyolite   
	(Knight) IzGiAkSaAshSha
<hr/>0939 Gashumu    
	(Knight) Ush
	(Baron) AkKuAAg
<hr/>1032 Umaanshar  
	(Knight) Um
<hr/>1033 Komirex    
	(Knight) EgGuPikKirBirMu
<hr/>1038 Isle       
	(Knight) IsNuu
	(Count) IrGumRapLiUz
<hr/>1131 Neegak     
	(Knight) AgLad
<hr/>1134 Jupset     
	(Knight) UUukShaKhirSur
<hr/>1135 Abalakova  
	(Knight) UkLeAdKhis
	(Baronet) ALiUkKas
	(Baron) MarShiUgKuu
	(Viscount) IlNi
<hr/>1136 Daangiilu  
	(Knight) ALurGuUAdZin
	(Baronet) GiInLu
	(Baron) MaAdMimNiAsh
<hr/>1137 Usaamkirkhi
	(Knight) UlKiiUlLaaKiNa
	(Baronet) EAlMiishLarSha
	(Baron) IikKhirKhimShiImMu
<hr/>1138 Chrysantheu
	(Knight) LuGusGurShupBa
<hr/>1139 Uureg      
	(Knight) UlKaaAsh
	(Viscount) IlGaNamSiZaa
<hr/>1140 Hiroshi    
	(Knight) ShurGiAam
	(Baron) IdGa
	(Marquis) DunDiUlSiIid
<hr/>1232 Lekziika   
	(Knight) IiAk
	(Baronet) UsLadLi
	(Baron) AUgGunKhid
<hr/>1235 Themistocle
	(Knight) GaIkhKiAGash
<hr/>1236 Fymur      
	(Knight) RiiNunSiGud
<hr/>1237 Kanumshikaa
	(Knight) KhiidKirMaarShiim
	(Baron) Uk
<hr/>1238 Iplukaddesh
	(Knight) IdKhaA
<hr/>1240 Nelson     
	(Knight) NumKa
<hr/>1332 Nii Khu    
	(Knight) GiUmSe
	(Count) Naag
<hr/>1334 Lukham     
	(Knight) ElKham
	(Count) UMarMaEGan
	(Duke) MushKhiKunDuKu
<hr/>1336 Pygmy      
	(Knight) IiGarGiIgKhipKhuur
<hr/>1337 Borealis   
	(Knight) NirGiinLuuEnShisBaa
<hr/>1339 Darm       
	(Knight) DiiKarLirDaShan
<hr/>1340 Anishda    
	(Knight) IIgLiIkh
<hr/>1431 Daalurge   
	(Knight) IiE
	(Baron) IAlShimZiiGaAsh
<hr/>1432 Agagir     
	(Knight) LarLuuIk
<hr/>1435 Dakeshir   
	(Knight) AgGadKuGaDu
<hr/>1437 Igikuuni   
	(Knight) AkGe
	(Baron) U
	(Marquis) Id
<hr/>1438 Zaal       
	(Knight) KaAaIkMuu
	(Baron) ShaPer
<hr/>1531 Kolrado    
	(Knight) MenNeAdKuIkSii
<hr/>1533 Samotk     
	(Knight) GiirLaDen
<hr/>1534 Senkon     
	(Knight) IGaaMiMishRi
<hr/>1535 Malapaan   
	(Knight) Ik
	(Marquis) AdZaIGa
	(Viscount) AshLiir
<hr/>1536 Pamiimkhi  
	(Knight) AshDuShirKaEkLu
<hr/>1539 Zarurza    
	(Knight) IkKhinDuGaaUSiir
<hr/>1540 Limed      
	(Knight) LiiKhusSaInMush
<hr/>1632 Imdur      
	(Knight) AkDiUIkLi
<hr/>1633 Darkishar  
	(Knight) Aa
<hr/>1634 Isuugi     
	(Knight) EmKu
	(Baron) DarGuKa
<hr/>1637 Preserve   
	(Knight) AanDirSimKiAAg
<hr/>1638 Twana      
	(Knight) U
<hr/>
